source,dedup_key,document_number,title,issue_organ,decision,confidence,a_kws,b_kws,c_kws,x_kws,snippet,avail_text_len,has_full_body,in_808,matched_rfn
gov,eb165caa95e69ff259f2f857295fc814a32705e0204811006160faa3549a5013,中华人民共和国国务院令第300号,集成电路布图设计保护条例,中华人民共和国国务院,EXCLUDE,—,,,,,,26962,True,False,
gov,bb29802cae81f5f06f0120eaf58c326ea946aa37e68232d36696920449fd2d27,中华人民共和国国务院令第841号,国务院关于出境入境管理的规定,中华人民共和国国务院,EXCLUDE,—,,,,,,14141,True,False,
gov,4cef1fb22a1c9a89e2a1d46a53eea361f0b85b5e32824089806edbc30977b5e0,中华人民共和国国务院令第840号,退役军人就业创业促进条例,中华人民共和国国务院,EXCLUDE,—,,,,,,19619,True,False,
gov,8297174cc42b0e21f780f8b4842868ecc0789f5586ac814b4dfcda966506c3f4,中华人民共和国国务院令第321号,行政法规制定程序条例,中华人民共和国国务院,EXCLUDE,—,,,,,,24789,True,False,
gov,ee92d13ac57e78e49b35630a7881760eb5d750cb50272a19bb5adbf23fe1f85e,中华人民共和国国务院令第839号,中华人民共和国矿产资源法实施条例,中华人民共和国国务院,EXCLUDE,—,,,,,,50060,True,False,
gov,9381d4492eed0977f280938cbc91fcef470499c1acb2ebd61547e766b940d23d,中华人民共和国国务院令第837号,国务院关于对外投资的规定,中华人民共和国国务院,BOUNDARY,低,,,保险机构,银行业金融机构,[body]…定位，遵循市场化、法治化、商业可持续和风险可控原则，在业务范围内为投资者对外投资提供融资等金融服务。鼓励政策性保险机构为投资者对外投资提供海外投资保险等服务。 第九条 有关行业协会商会应当依照法律、法规和章程，加强行业自律，提升…,20058,True,False,
gov,d4b6480d80ae3af32e991fff5eec97786594818dc00f969ebc5d8c8d90492c6c,中华人民共和国国务院令第499号,中华人民共和国行政复议法实施条例,中华人民共和国国务院,EXCLUDE,—,,,,,,40035,True,False,
gov,64e15bd431b6d0a52ee45df995bde6f2696f8bc50f37d369f7cbb8e43782f948,中华人民共和国国务院令第835号,中华人民共和国反外国不当域外管辖条例,中华人民共和国国务院,EXCLUDE,—,,,,,,12152,True,False,
gov,15d734a4ffad347720308f6959cd1fa47dc029ccdc0ecfaa97100e833ba1a192,中华人民共和国国务院令第834号,国务院关于产业链供应链安全的规定,中华人民共和国国务院,EXCLUDE,—,,,,,,10354,True,False,
gov,a1c46651e97a45b8993c83c6cdd4de3db9b23e78d453b527350a01dcb975e729,中华人民共和国国务院令第473号,全国农业普查条例,中华人民共和国国务院,EXCLUDE,—,,,,,,21970,True,False,
gov,27c33e00a8b527e6c1f92f764f1bb0b0ec757c4f422d8fd01ee907efa127eac2,中华人民共和国国务院令第250号,社会团体登记管理条例,中华人民共和国国务院,BOUNDARY,低,,,分支机构,,[body]…记证书》申请刻制印章，开立银行账户。社会团体应当将印章式样和银行账号报登记管理机关备案。 第十七条 社会团体的分支机构、代表机构是社会团体的组成部分，不具有法人资格，应当按照其所属于的社会团体的章程所规定的宗旨和业务范围，在该社…,21240,True,False,
gov,27936d4c02a97d414280e979588894faa1d10dd2448010677f10281913cb18f7,中华人民共和国国务院令第831号,供水条例,中华人民共和国国务院,EXCLUDE,—,,,,,,31497,True,False,
gov,96fe7cb833015852f8284c4224a1236cf9b79ae72125695b4b468f905f7f321c,中华人民共和国国务院令第167号,中华人民共和国自然保护区条例,中华人民共和国国务院,EXCLUDE,—,,,,,,30306,True,False,
gov,ab54e4f3b6d2a08b8fca360ed8efdd04ee13e51725356d613da9e50041536a87,中华人民共和国国务院令第100号,城市绿化条例,中华人民共和国国务院,EXCLUDE,—,,,,,,12044,True,False,
gov,96e6059aa6e0c9f5819b385336e630c154a3fca7d26c6c9645830db47dff7184,中华人民共和国国务院令第53号,中华人民共和国标准化法实施条例,中华人民共和国国务院,EXCLUDE,—,,,,,,20683,True,False,
gov,ffe77ffc72acbaea980380ed59b73ad43083e8c3a75aa84b3ccbb17779684de0,中华人民共和国国务院令第184号,中华人民共和国注册建筑师条例,中华人民共和国国务院,EXCLUDE,—,,,,,,16343,True,False,
gov,735d921940bde850bcdb489247944c3845d1843ecb600ae1184d035e79507642,N/A,植物检疫条例,N/A,EXCLUDE,—,,,,,,12835,True,False,
gov,7455d8f862e74a51526e1cb4138a464fd30adaa82c7e503615a8110969b7b35f,中华人民共和国国务院令第77号,水库大坝安全管理条例,中华人民共和国国务院,EXCLUDE,—,,,,,,12890,True,False,
