监管文件编号,主题,文件名,发文字号,状态,说明
RFN-T1-229,T1销售行为与消费者保护,个人养老金实施办法,人力资源社会保障部 财政部 国家税务总局 银保监会 证监会令2022年第1号（人社部发〔2022〕70号）,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T1-231,T1销售行为与消费者保护,关于规范银行代理渠道保险产品的通知,2023年,已提取-缺正文,五源cleaned中对应记录正文缺失(N/A)
RFN-T1-259,T1销售行为与消费者保护,金融产品网络营销管理办法,人民银行等八部门公告〔2026〕第9号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T2-040,T2产品与精算制度,关于推荐使用《人身保险产品条款部分条目示范写法》的通知,中保协发[2009]161号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T2-050,T2产品与精算制度,关于普通型定期寿险、普通型终身寿险费率厘定等有关问题的通知,保监发[2010]33号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T2-083,T2产品与精算制度,《重大疾病保险的疾病定义使用规范（2020年修订版）》,44140,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T2-085,T2产品与精算制度,中国银行保险监督管理委员会人身保险监管部关于印发人身保险产品“负面清单”（2021版）的通知,人身险部函〔2021〕31号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T2-087,T2产品与精算制度,国家金融监督管理总局办公厅关于平稳有序做好人身保险产品切换有关工作的通知,金办便函〔2024〕1001号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T2-090,T2产品与精算制度,《关于分红险分红水平监管意见的函》,金寿险函〔2025〕374号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T2-097,T2产品与精算制度,最高人民法院关于适用《中华人民共和国保险法》若干问题的解释（二）,N/A,已提取-缺正文,五源cleaned中对应记录正文缺失(N/A)
RFN-T2-098,T2产品与精算制度,最高人民法院关于适用《中华人民共和国保险法》若干问题的解释（三）,N/A,已提取-缺正文,五源cleaned中对应记录正文缺失(N/A)
RFN-T2-107,T2产品与精算制度,保险产品适当性管理自律规范,中保协 2026-03-27,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T3-001,T3资本与偿付能力监管,财政部 国家税务总局关于人寿保险业务免征营业税若干问题的通知（部分失效）,财税[2001]118号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T3-077,T3资本与偿付能力监管,中华人民共和国增值税法,N/A,已提取-缺正文,五源cleaned中对应记录正文缺失(N/A)
RFN-T4-014,T4公司治理与股权关联交易,关于外资保险公司关联交易范围界定问题的复函,保监厅函[2008]280号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T4-026,T4公司治理与股权关联交易,关于重大关联交易认定有关事宜的复函,保监发改[2010]1199号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T4-036,T4公司治理与股权关联交易,中国保监会关于印发《保险集团并表监管指引》的通知,保监发[2014]96号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T4-053,T4公司治理与股权关联交易,中国人民反洗钱局关于印发《法人金融机构洗钱和恐怖融资风险管理指引（试行）》的通知,银反洗发[2018]19号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T4-054,T4公司治理与股权关联交易,关于加强保险资金股权投资事后报告监管机制有关事项的通知,资金部函〔2018〕34,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T4-055,T4公司治理与股权关联交易,关于印发《保险资金股权投资信息报告监管口径》的通知,资金部函（2018）35号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T4-060,T4公司治理与股权关联交易,中国保险行业协会关于印发《保险公司股东权利义务手册》的通知,中保协发〔2022〕12号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T4-064,T4公司治理与股权关联交易,保险公司资金运用关联交易管理制度标准,中国保险行业协会　2024年1月,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T4-065,T4公司治理与股权关联交易,保险机构资金运用关联交易自律规则,中国保险行业协会　2024年1月,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T4-074,T4公司治理与股权关联交易,财政部 证监会 审计署 银监会 保监会关于印发《企业内部控制基本规范》的通知,N/A,已提取-缺正文,五源cleaned中对应记录正文缺失(N/A)
RFN-T5-065,T5资金运用与资产负债管理,保险资产管理业从业人员职业操守和行为准则,（中国保险资产管理业协会　2023年4月）,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T5-066,T5资金运用与资产负债管理,中国保险资产管理业协会自律监督检查工作暂行办法,（中国保险资产管理业协会2023年4月）,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-T5-067,T5资金运用与资产负债管理,中国保险资产管理业协会自律评价管理办法,（中国保险资产管理业协会2023年4月）,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
