source,dedup_key,document_number,title,issue_organ,decision,confidence,a_kws,b_kws,c_kws,x_kws,snippet,avail_text_len,has_full_body,in_attr,matched_rfn
gov,65fe9876821229767472cdbe8c1ca4d3a77e6bdb837a30fa2d30a5ab0c3b7cda,中华人民共和国国务院令第262号,住房公积金管理条例,中华人民共和国国务院,EXCLUDE,中,,,分支机构,商业银行|银行业,[body]…房公积金的存、贷利率由国务院决定。 第七条 国务院住房城乡建设主管部门会同国务院财政部门、中国人民银行、国务院银行业监督管理机构拟定住房公积金政策，并监督执行。 省、自治区人民政府住房城乡建设主管部门会同同级财政部门以及中国人…,24198,True,False,
gov,eb165caa95e69ff259f2f857295fc814a32705e0204811006160faa3549a5013,中华人民共和国国务院令第300号,集成电路布图设计保护条例,中华人民共和国国务院,EXCLUDE,—,,,,,,26840,True,False,
gov,bb29802cae81f5f06f0120eaf58c326ea946aa37e68232d36696920449fd2d27,中华人民共和国国务院令第841号,国务院关于出境入境管理的规定,中华人民共和国国务院,EXCLUDE,—,,,,,,14077,True,False,
gov,4cef1fb22a1c9a89e2a1d46a53eea361f0b85b5e32824089806edbc30977b5e0,中华人民共和国国务院令第840号,退役军人就业创业促进条例,中华人民共和国国务院,EXCLUDE,—,,,,,,19516,True,False,
gov,8297174cc42b0e21f780f8b4842868ecc0789f5586ac814b4dfcda966506c3f4,中华人民共和国国务院令第321号,行政法规制定程序条例,中华人民共和国国务院,EXCLUDE,—,,,,,,24663,True,False,
gov,ee92d13ac57e78e49b35630a7881760eb5d750cb50272a19bb5adbf23fe1f85e,中华人民共和国国务院令第839号,中华人民共和国矿产资源法实施条例,中华人民共和国国务院,EXCLUDE,—,,,,,,49863,True,False,
gov,9381d4492eed0977f280938cbc91fcef470499c1acb2ebd61547e766b940d23d,中华人民共和国国务院令第837号,国务院关于对外投资的规定,中华人民共和国国务院,BOUNDARY,低,,,保险机构,银行业金融机构,[body]…定位，遵循市场化、法治化、商业可持续和风险可控原则，在业务范围内为投资者对外投资提供融资等金融服务。鼓励政策性保险机构为投资者对外投资提供海外投资保险等服务。 第九条 有关行业协会商会应当依照法律、法规和章程，加强行业自律，提升…,19995,True,False,
gov,d4b6480d80ae3af32e991fff5eec97786594818dc00f969ebc5d8c8d90492c6c,中华人民共和国国务院令第499号,中华人民共和国行政复议法实施条例,中华人民共和国国务院,EXCLUDE,—,,,,,,39807,True,False,
gov,64e15bd431b6d0a52ee45df995bde6f2696f8bc50f37d369f7cbb8e43782f948,中华人民共和国国务院令第835号,中华人民共和国反外国不当域外管辖条例,中华人民共和国国务院,EXCLUDE,—,,,,,,12093,True,False,
gov,15d734a4ffad347720308f6959cd1fa47dc029ccdc0ecfaa97100e833ba1a192,中华人民共和国国务院令第834号,国务院关于产业链供应链安全的规定,中华人民共和国国务院,EXCLUDE,—,,,,,,10310,True,False,
gov,a1c46651e97a45b8993c83c6cdd4de3db9b23e78d453b527350a01dcb975e729,中华人民共和国国务院令第473号,全国农业普查条例,中华人民共和国国务院,EXCLUDE,—,,,,,,21845,True,False,
