序号,来源,发文字号,文件名,命中关键词(泛化),命中段落摘录,取舍理由,置信度,建议处理
1,gov,中华人民共和国国务院令第837号,国务院关于对外投资的规定,保险机构 ,[body]…定位，遵循市场化、法治化、商业可持续和风险可控原则，在业务范围内为投资者对外投资提供融资等金融服务。鼓励政策性保险机构为投资者对外投资提供海外投资保险等服务。 第九条 有关行业协会商会应当依照法律、法规和章程，加强行业自律，提升…,同时存在排除信号(银行业金融机构)，已据主体规则判定,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
2,gov,中华人民共和国国务院令第250号,社会团体登记管理条例,分支机构 ,[body]…记证书》申请刻制印章，开立银行账户。社会团体应当将印章式样和银行账号报登记管理机关备案。 第十七条 社会团体的分支机构、代表机构是社会团体的组成部分，不具有法人资格，应当按照其所属于的社会团体的章程所规定的宗旨和业务范围，在该社…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
3,gov,中华人民共和国国务院令第46号,森林病虫害防治条例,保险公司 ,[body]…防治费用的，各级人民政府应当给予补助。 第二十条 国家在重点林区逐步实行森林病虫害保险制度，具体办法由中国人民保险公司会同国务院林业主管部门制定。 第四章 奖励和惩罚 第二十一条 有下列成绩之一的单位和个人，由人民政府或者林业主…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
4,gov,中华人民共和国国务院令第335号,中华人民共和国国际海运条例,分支机构 ,[body]…管部门备案： (一)终止经营； (二)减少运营船舶； (三)变更提单、客票或者多式联运单证； (四)在境外设立分支机构或者子公司经营相应业务； (五)拥有的船舶在境外注册，悬挂外国旗。 国际客船、国际散装液体危险品船运输经营者增…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
5,gov,中华人民共和国国务院令第811号,蓄滞洪区运用补偿办法,保险机构 ,[body]…有关部门按照职责分工，负责蓄滞洪区运用补偿的有关工作。 第六条 国家鼓励、支持在蓄滞洪区推行洪水保险制度，鼓励保险机构根据蓄滞洪区运用后损失情况，开展洪水保险快速理赔和灾害应急预付赔款服务。 第七条 任何组织和个人不得骗取、侵吞…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
6,gov,中华人民共和国国务院令第697号,快递暂行条例,保险公司|分支机构 ,[body]…的业务范围和地域范围，向社会公布取得快递业务经营许可的企业名单，并及时更新。 第十九条 经营快递业务的企业及其分支机构可以根据业务需要开办快递末端网点，并应当自开办之日起20日内向所在地邮政管理部门备案。快递末端网点无需办理营业…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
7,gov,中华人民共和国国务院令第801号,国务院关于涉外知识产权纠纷处理的规定,保险机构|分支机构 ,[body]…纷调解、 仲裁工作的指导。  第八条 鼓励律师事务所、 知识产权服务机构等提高涉外知识产权服务能力， 通过设立分支机构、 联合经营等方式在国外设立执业机构， 为公民、 组织提供优质高效的涉外知识产权相关服务。  国务院司法行政部…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
8,gov,中华人民共和国国务院令第512号,中华人民共和国企业所得税法实施条例, ,[body]…者受雇有关的其他支出。 第三十五条 企业依照国务院有关主管部门或者省级人民政府规定的范围和标准为职工缴纳的基本养老保险费、基本医疗保险费、失业保险费、工伤保险费、生育保险费等基本社会保险费和住房公积金，准予扣除。 企业为投资者或…,正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
9,gov,中华人民共和国国务院令第343号,出版管理条例,分支机构 ,[body]…由其主办单位承担。 第十七条 出版单位变更名称、主办单位或者其主管机关、业务范围、资本结构，合并或者分立，设立分支机构，出版新的报纸、期刊，或者报纸、期刊变更名称的，应当依照本条例第十二条、第十三条的规定办理审批手续。出版单位属…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
10,gov,中华人民共和国国务院令第792号,中华人民共和国两用物项出口管制条例,分支机构 ,[body]…(三)属于列入本条例第二十八条规定的管控名单内的境外组织和个人在中华人民共和国境内设立的独资企业、代表机构、分支机构； (四)国务院商务主管部门规定的其他情形。 已经获得通用许可或者以登记填报信息方式获得出口凭证的出口经营者出…,泛化命中'保险公司/保险机构'等，未明确指向人身险公司主体,低,人工复核：判断是否人身险公司经营相关；若确为财险/再保/中介主体则排除
